Plot no,Block,Property office,Demand (lacs),contact number ,contact number
444,G,Shah Associate,70,3335041665.0,
405,G,Shah Associate,66,3335041665.0,
736,G,Shah Associate,75,3335041665.0,
501,G,Shah Associate,70,3335041665.0,
451,G,Shah Associate,70,3335041665.0,
567,D,Xpert property,210,3315615550.0,
190,G,Xpert property,62,3315615550.0,
25,G,Xpert property,70,3315615550.0,
55,G,Xpert property,66,3315615550.0,
406,G,Xpert property,70,3315615550.0,
416,G,Xpert property,70,3315615550.0,
437,G,Xpert property,70,3315615550.0,
501,G,Xpert property,70,3315615550.0,
576,G,Xpert property,72,3315615550.0,
661,G,Xpert property,70,3315615550.0,
608,G,Xpert property,70,3315615550.0,
610,G,Xpert property,70,3315615550.0,
444,G,Xpert property,65,3315615550.0,
40,G,Xpert property,68,3315615550.0,
305,G,Xpert property,65,3315615550.0,
759,D,M3 Marketing,225,3129125372.0,
567,D,M3 Marketing,210,3129125372.0,
569,A,M3 Marketing,180,3129125372.0,
156,A,M3 Marketing,180,3129125372.0,
333L,D,M3 Marketing,155,3129125372.0,
1068,D,M3 Marketing,130,3129125372.0,
279D,D,M3 Marketing,165,3129125372.0,
123,i,Zain Ali,165,,
44,i,Zain Ali,185,,
148,i,Zain Ali,170,,
257,i,Zain Ali,195,,
190,i,Zain Ali,210,,
141,i,Zain Ali,160,,
135,i,Zain Ali,165,,
154,D,Iftikhar M3 Marketing,210,3131910455.0,
895,D,Iftikhar M3 Marketing,175,3131910455.0,
279,D,Iftikhar M3 Marketing,165,3131910455.0,
